comment-id,comment-body,agree,disagree
1,公園には子供が安全に遊べる遊具エリアが必要です。特に幼児向けの低い滑り台やブランコがあると良いと思います。,45,3
2,高齢者が利用しやすいベンチや日陰になる東屋をもっと増やしてほしいです。散歩の途中で休憩できる場所が少ないと感じています。,38,1
3,ドッグランエリアを設置してほしいです。犬を飼っている人が増えているので、安心して犬を遊ばせられるスペースがあると助かります。,52,8
4,夜間の照明を充実させてください。暗くて怖いので、夕方以降は利用を避けています。防犯カメラの設置も検討してほしいです。,61,2
5,バスケットコートやフットサルコートなど、若者がスポーツを楽しめる施設があると良いです。健康的な活動の場が必要だと思います。,29,5
6,季節の花を楽しめる花壇や、地域の人が管理できる市民農園のようなスペースがあると、コミュニティの交流も生まれて良いと思います。,33,4
7,駐車場を拡張してください。週末は満車で停められないことが多く、公園を利用したくても諦めることがあります。,42,12
8,バリアフリー対応を充実させてほしいです。車椅子でも利用しやすいスロープや、多目的トイレの設置をお願いします。,55,0
9,子供向けの水遊び場があると夏場に助かります。じゃぶじゃぶ池のような浅い水場で、安全に遊べる施設を希望します。,47,6
10,静かに読書や勉強ができるエリアを作ってほしいです。図書館が遠いので、屋外でも集中できる環境があると嬉しいです。,24,3
